Date,qqq,tqqq_mock
1981-12-30,2.289342414279089,1.1263410446393152
1981-12-31,2.302179854399234,1.1442618759238956
1982-01-04,2.302179854399234,1.1442618759238956
1982-01-05,2.302179854399234,1.1442618759238956
1982-01-06,2.302179854399234,1.1442618759238956
1982-01-07,2.302179854399234,1.1442618759238956
1982-01-08,2.302179854399234,1.1442618759238956
1982-01-11,2.302179854399234,1.1442618759238956
1982-01-12,2.302179854399234,1.1442618759238956
1982-01-13,2.302179854399234,1.1442618759238956
1982-01-14,2.302179854399234,1.1442618759238956
1982-01-15,2.302179854399234,1.1442618759238956
1982-01-18,2.302179854399234,1.1442618759238956
1982-01-19,2.302179854399234,1.1442618759238956
1982-01-20,2.302179854399234,1.1442618759238956
1982-01-21,2.302179854399234,1.1442618759238956
