Date,TQQQ_Backfilled
1986-06-16,2.804538111623133
1986-06-17,2.6872801181568557
1986-06-18,2.6896684712420047
1986-06-19,2.731991656072879
1986-06-20,2.7452512837381264
1986-06-23,2.7406687836417554
1986-06-24,2.8060540081693675
1986-06-25,2.8681531410676926
1986-06-26,2.855231282071282
1986-06-27,2.850923819857721
1986-06-30,2.903539548718483
1986-07-01,2.939013089823106
1986-07-02,2.9687414005783053
1986-07-03,2.997461418934355
1986-07-07,2.6233190152668
1986-07-08,2.405853579188234
1986-07-09,2.5040260226422
1986-07-10,2.450236097628338
1986-07-11,2.3827302160857773
1986-07-14,2.213593938175442
1986-07-15,2.079072463568697
1986-07-16,2.1277391513968165
1986-07-17,2.1715726111644598
1986-07-18,2.1413396324065546
1986-07-21,2.112686406294363
1986-07-22,2.1291235740930663
