Date,tqqq_mock
1982-03-29,0.9016418175417684
1982-03-30,0.9016418175417684
1982-03-31,0.7599420275608122
1982-04-01,0.7599420275608122
1982-04-02,0.7599420275608122
1982-04-05,0.7599420275608122
1982-04-06,0.7599420275608122
1982-04-07,0.7599420275608122
1982-04-08,0.7599420275608122
1982-04-12,0.7599420275608122
1982-04-13,0.7599420275608122
1982-04-14,0.7599420275608122
1982-04-15,0.7599420275608122
1982-04-16,0.7599420275608122
1982-04-19,0.7599420275608122
1982-04-20,0.7599420275608122
1982-04-21,0.7599420275608122
1982-04-22,0.7599420275608122
1982-04-23,0.7599420275608122
1982-04-26,0.7599420275608122
1982-04-27,0.7599420275608122
1982-04-28,0.7599420275608122
1982-04-29,0.7599420275608122
1982-04-30,0.9898199861724836
1982-05-03,0.9898199861724836
